Date,Millions of Doses
1980-1981,12.4
1981-1982,19.8
1982-1983,17
1983-1984,17.9
1984-1985,14.2
1985-1986,20.1
1986-1987,19.3
1987-1988,22.6
1988-1989,19.9
1989-1990,26.1
1990-1991,28.3
1991-1992,28.5
1992-1993,38.3
1993-1994,47.1
1994-1995,52.1
1995-1996,54.9
1996-1997,58.2
1997-1998,75.3
1998-1999,62.6
1999-2000,76.8
2000-2001,70.4
2001-2002,77.7
2002-2003,83
2003-2004,83.1
2004-2005,57
2005-2006,81.2
2006-2007,103.4
2007-2008,112.4
2008-2009,110.9
2009-2010,114
2010-2011,155.1
2011-2012,132
2012-2013,134.9
2013-2014,134.5
2014-2015,147.8
2015-2016,146.4
2016-2017,145.9
2017-2018,155.3
2018-2019*,170.7
2019-2020*,175.2
2020-2021*,194.4
2021-2022*,175.6
2022-2023,173.4
2023-2024,157.7
2024-2025,147.5
